scope,row,modality,anchor,anchor_type,fold,mod_macro_f1,anchor_macro_f1,delta,mean_delta,n_folds_positive
TOO,10,probe_cpg_tt39_unenriched,probe_meth_tt39_unenriched,probe-averaged,4,0.5533333333333333,0.4768298368298368,0.07650349650349653,0.07613296848079457,4
TOO,10,probe_cpg_tt39_unenriched,probe_meth_tt39_unenriched,probe-averaged,5,0.3209090909090909,0.2888888888888888,0.032020202020202115,0.07613296848079457,4
TOO,11,probe_cpg_tt39_unenriched_lasso,probe_meth_tt39_unenriched,probe-averaged,1,0.3357142857142857,0.1919191919191919,0.14379509379509378,0.062002220002219985,3
TOO,11,probe_cpg_tt39_unenriched_lasso,probe_meth_tt39_unenriched,probe-averaged,2,0.5166666666666666,0.209090909090909,0.3075757575757576,0.062002220002219985,3
TOO,11,probe_cpg_tt39_unenriched_lasso,probe_meth_tt39_unenriched,probe-averaged,3,0.1853535353535353,0.3227838827838828,-0.13743034743034752,0.062002220002219985,3
TOO,11,probe_cpg_tt39_unenriched_lasso,probe_meth_tt39_unenriched,probe-averaged,4,0.4555555555555555,0.4768298368298368,-0.021274281274281326,0.062002220002219985,3
TOO,11,probe_cpg_tt39_unenriched_lasso,probe_meth_tt39_unenriched,probe-averaged,5,0.3062337662337662,0.2888888888888888,0.017344877344877385,0.062002220002219985,3
TOO,12,probe_cpg_tt39_enriched,probe_meth_tt39_enriched,probe-averaged,1,0.4770121381886089,0.4704761904761904,0.0065359477124184995,0.08129761741526452,4
TOO,12,probe_cpg_tt39_enriched,probe_meth_tt39_enriched,probe-averaged,2,0.6078431372549019,0.2733333333333333,0.3345098039215686,0.08129761741526452,4
TOO,12,probe_cpg_tt39_enriched,probe_meth_tt39_enriched,probe-averaged,3,0.6153846153846154,0.5714285714285714,0.04395604395604402,0.08129761741526452,4
TOO,12,probe_cpg_tt39_enriched,probe_meth_tt39_enriched,probe-averaged,4,0.4464069264069263,0.6599999999999999,-0.2135930735930736,0.08129761741526452,4
TOO,12,probe_cpg_tt39_enriched,probe_meth_tt39_enriched,probe-averaged,5,0.6865079365079365,0.4514285714285714,0.2350793650793651,0.08129761741526452,4
TOO,13,probe_cpg_tt39_enriched_lasso,probe_meth_tt39_enriched,probe-averaged,1,0.5433766233766234,0.4704761904761904,0.07290043290043302,0.072952380952381,4
TOO,13,probe_cpg_tt39_enriched_lasso,probe_meth_tt39_enriched,probe-averaged,2,0.4666666666666666,0.2733333333333333,0.1933333333333333,0.072952380952381,4
